model,accuracy,precision,recall,F1-score,ROC-AUC
RandomForest,0.9507869098176368,0.9401444788441693,0.8676190476190476,0.9024269440316989,0.9874742392724105
LogisticRegression,0.9490382213339995,0.9196428571428571,0.8828571428571429,0.9008746355685131,0.9859252092303227
